Timestamp,Shipping Country,Product Category,Product Name,Rating,Review Content,Fulfillment Status,Order Value
2024-10-29,USA,Clothing,Cargo Pants,3,"The Cargo Pants is acceptable, but I expected slightly better packaging.",Fulfilled,91.34
2025-06-21,USA,Sports,Hiking Backpack,3,The Hiking Backpack does the job but lacks a premium feel.,Pending,22.37
2024-10-13,UK,Accessories,Backpack,4,The Backpack has become my favorite item.,Canceled,239.91
2024-08-26,USA,Accessories,Wallet,4,Perfect fit and great fabric quality on the Wallet.,Pending,214.06
2024-12-31,USA,Accessories,Umbrella,3,"Fairly standard experience, nothing too exciting about the Umbrella.",Fulfilled,455.85
2025-07-02,Australia,Shoes,Sandals,4,Everything about this Sandals screams quality!,Fulfilled,211.05
2025-07-01,Canada,Sports,Running Shorts,5,The Running Shorts looks amazing and is really sturdy.,Pending,145.44
2024-08-17,Canada,Sports,Cycling Helmet,1,"The Cycling Helmet stopped working after just one use, very frustrating.",Fulfilled,326.67
2025-06-29,UK,Sports,Basketball,4,"Superb quality on the Basketball, packaging was also great.",Pending,109.75
2025-06-06,Australia,Clothing,Formal Shirt,1,"Waste of money, don't buy this Formal Shirt.",Canceled,426.96
2025-03-24,UK,Sports,Cricket Bat,1,The Cricket Bat feels cheap and unreliable.,Canceled,121.44
2025-04-30,USA,Clothing,Cotton T-Shirt,1,"The Cotton T-Shirt is flimsy and uncomfortable, regret buying it.",Canceled,420.8
2025-01-01,Canada,Accessories,Umbrella,5,Everything about this Umbrella screams quality!,Pending,223.01
2025-07-18,USA,Electronics,Noise Cancelling Headphones,2,"Received the wrong Noise Cancelling Headphones, very disappointed.",Fulfilled,294.99
2025-06-26,Australia,Home,Microwave Oven,3,"The Microwave Oven is fine for casual use, not premium quality.",Pending,378.92
2024-09-14,Australia,Sports,Hiking Backpack,3,The Hiking Backpack does the job but lacks a premium feel.,Fulfilled,471.88
2024-11-28,USA,Home,Coffee Maker,1,The Coffee Maker is overpriced for such cheap material.,Canceled,382.0
2025-05-30,UK,Accessories,Silk Scarf,4,"The Silk Scarf came earlier than expected, amazing service.",Canceled,354.17
2025-04-02,Australia,Accessories,Travel Duffel Bag,1,Customer service ignored my complaint about the Travel Duffel Bag.,Pending,483.79
2024-09-09,Australia,Sports,Hiking Backpack,5,"Superb quality on the Hiking Backpack, packaging was also great.",Canceled,388.28
2025-06-07,UK,Kitchen,Chef Knife,4,"Fast shipping and great quality Chef Knife, could not be happier.",Pending,397.42
2024-09-14,Canada,Electronics,Tablet Cover,3,"Meh experience with the Tablet Cover, nothing memorable.",Canceled,417.07
2024-11-24,Canada,Clothing,Hoodie,3,"Got what I ordered, the Hoodie is okay.",Pending,121.58
2025-07-27,UK,Clothing,Hoodie,4,"Absolutely love the Hoodie, excellent quality and fast delivery.",Canceled,490.74
2025-05-28,Australia,Electronics,Wireless Earbuds,1,"Waste of money, don't buy this Wireless Earbuds.",Canceled,406.11
2024-11-24,USA,Electronics,Tablet Cover,5,Perfect fit and great fabric quality on the Tablet Cover.,Canceled,281.58
2024-08-01,Australia,Home,Air Purifier,4,Everything about this Air Purifier screams quality!,Canceled,475.32
2025-06-03,Canada,Accessories,Sunglasses,3,The Sunglasses works as expected but nothing to brag about.,Canceled,160.0
2024-09-23,Australia,Clothing,Wool Sweater,5,"Excellent purchase, the Wool Sweater feels premium and durable.",Fulfilled,215.57
2025-04-19,UK,Shoes,Sandals,3,"Meh experience with the Sandals, nothing memorable.",Pending,424.08
2025-03-18,USA,Home,Blender,1,"Worst experience ever, the Blender is a scam.",Fulfilled,386.77
2024-09-29,USA,Beauty,Lipstick,4,"Excellent purchase, the Lipstick feels premium and durable.",Canceled,103.89
2024-08-31,Canada,Accessories,Keychain,3,"The Keychain is decent, not too bad but nothing extraordinary.",Canceled,171.62
2025-03-11,UK,Clothing,Cargo Pants,2,"The Cargo Pants came damaged, packaging was horrible.",Pending,218.13
2024-10-07,USA,Clothing,Leather Jacket,3,"Neutral experience, the Leather Jacket performs as advertised but lacks premium feel.",Pending,226.44
2024-10-26,UK,Sports,Tennis Racket,2,"Totally not worth it, the Tennis Racket is a disaster.",Fulfilled,260.79
2024-11-08,Canada,Sports,Basketball,3,"The Basketball is acceptable, but I expected slightly better packaging.",Pending,54.06
2024-12-01,Canada,Home,Ceiling Fan,3,"Got what I ordered, the Ceiling Fan is okay.",Pending,185.01
2025-01-13,USA,Shoes,Sneakers,3,"Got what I ordered, the Sneakers is okay.",Fulfilled,336.21
2025-01-02,Canada,Clothing,Formal Shirt,5,"Highly satisfied, the Formal Shirt works even better than advertised.",Canceled,46.41
2025-01-04,USA,Sports,Tennis Racket,2,The Tennis Racket feels cheap and unreliable.,Pending,97.05
2024-08-28,USA,Accessories,Wrist Watch,3,"Got what I ordered, the Wrist Watch is okay.",Canceled,392.39
2024-10-20,Australia,Shoes,Formal Shoes,2,"Received the wrong Formal Shoes, very disappointed.",Canceled,127.03
2024-09-14,UK,Beauty,Perfume,3,"Meh experience with the Perfume, nothing memorable.",Pending,57.24
2024-08-10,Canada,Kitchen,Cutting Board,4,"The Cutting Board is stylish and comfortable, I wear it every day.",Pending,358.49
2025-05-11,UK,Clothing,Cargo Pants,4,"The Cargo Pants came earlier than expected, amazing service.",Pending,341.36
2024-12-08,USA,Electronics,Portable Charger,3,"Got what I ordered, the Portable Charger is okay.",Fulfilled,495.19
2024-09-16,USA,Sports,Football,4,"The Football is stylish and comfortable, I wear it every day.",Pending,30.52
2024-12-07,UK,Shoes,High Heels,4,"The High Heels exceeded my expectations, will definitely buy again!",Canceled,193.35
2025-02-02,USA,Home,Coffee Maker,2,"Totally not worth it, the Coffee Maker is a disaster.",Pending,182.8
2025-07-17,Canada,Kitchen,Measuring Cup Set,2,"The Measuring Cup Set broke within days, horrible quality.",Pending,285.96
2025-01-06,Australia,Kitchen,Oven Gloves,2,"Awful experience, will never buy this Oven Gloves again.",Pending,211.81
2024-10-22,Canada,Electronics,Portable Charger,1,"Extremely dissatisfied with the Portable Charger, will not recommend.",Canceled,410.34
2025-03-27,UK,Clothing,Leather Jacket,2,The Leather Jacket is overpriced for such cheap material.,Pending,360.73
2025-06-09,UK,Beauty,Shampoo,5,"Very happy with the Shampoo, fits perfectly and great value for money.",Fulfilled,359.59
2025-01-27,Australia,Kitchen,Electric Mixer,5,Perfect fit and great fabric quality on the Electric Mixer.,Fulfilled,311.72
2024-12-26,Canada,Accessories,Beanie Hat,1,"Waste of money, don't buy this Beanie Hat.",Fulfilled,458.94
2024-12-08,Canada,Accessories,Backpack,3,"It's okay, the Backpack does the job but quality could be better.",Canceled,285.57
2025-02-13,USA,Sports,Yoga Mat,5,The Yoga Mat has become my favorite item.,Pending,367.54
2025-03-09,Canada,Kitchen,Oven Gloves,4,"Very happy with the Oven Gloves, fits perfectly and great value for money.",Fulfilled,320.95
2025-07-24,Australia,Kitchen,Blender Jar,3,"Not bad, but the Blender Jar is also not great.",Canceled,437.92
2025-01-13,UK,Home,Air Purifier,3,"It's okay, the Air Purifier does the job but quality could be better.",Fulfilled,265.38
2024-12-27,USA,Electronics,Noise Cancelling Headphones,1,"Disappointed with the Noise Cancelling Headphones, customer support unhelpful.",Canceled,111.85
2025-06-10,Australia,Beauty,Moisturizing Cream,2,"Totally not worth it, the Moisturizing Cream is a disaster.",Pending,380.93
2025-05-23,USA,Kitchen,Coffee Grinder,3,The Coffee Grinder is fine but not worth the price in my opinion.,Pending,409.06
2025-01-13,Australia,Accessories,Wallet,3,"It's usable, but the Wallet could have been more comfortable.",Canceled,30.4
2025-01-05,USA,Home,Coffee Maker,2,"Totally not worth it, the Coffee Maker is a disaster.",Canceled,219.31
2024-12-17,USA,Electronics,Bluetooth Speaker,3,"Got what I ordered, the Bluetooth Speaker is okay.",Canceled,329.48
2025-07-23,Australia,Shoes,Leather Boots,3,"The Leather Boots is just fine, delivery took longer than expected.",Fulfilled,253.29
2025-03-11,Australia,Clothing,Cargo Pants,1,"Awful experience, will never buy this Cargo Pants again.",Canceled,214.56
2025-04-10,Canada,Shoes,Formal Shoes,4,"Amazing Formal Shoes, customer support was also top-notch.",Fulfilled,219.94
2025-04-15,USA,Home,Electric Kettle,2,"The Electric Kettle is flimsy and uncomfortable, regret buying it.",Pending,471.94
2025-02-07,USA,Kitchen,Measuring Cup Set,5,"Loved the color and style of the Measuring Cup Set, perfect buy.",Canceled,294.05
2024-08-08,Australia,Accessories,Leather Belt,1,The Leather Belt arrived late and was not as described.,Fulfilled,329.51
2025-02-03,USA,Shoes,Climbing Boots,1,"Worst experience ever, the Climbing Boots is a scam.",Pending,278.17
2025-03-11,USA,Home,Coffee Maker,2,"Very poor quality Coffee Maker, broke within a week.",Pending,489.36
2025-06-01,Australia,Home,Vacuum Cleaner,3,"I feel neutral about this Vacuum Cleaner, nothing stands out.",Pending,122.62
2025-03-21,UK,Accessories,Keychain,1,The Keychain is uncomfortable and poorly made.,Canceled,259.75
2024-11-04,USA,Clothing,Polo Shirt,1,"Terrible quality Polo Shirt, felt like a waste of money.",Canceled,338.36
2025-03-12,Canada,Electronics,Smartwatch,2,"Very poor quality Smartwatch, broke within a week.",Pending,426.03
2025-05-25,Canada,Clothing,Cotton T-Shirt,5,"The Cotton T-Shirt is perfect for my needs, amazing craftsmanship.",Canceled,381.92
2025-05-15,USA,Home,Electric Kettle,1,The Electric Kettle arrived late and was not as described.,Fulfilled,302.39
2025-07-23,Canada,Electronics,Bluetooth Speaker,3,"The Bluetooth Speaker is just fine, delivery took longer than expected.",Pending,339.15
2025-04-02,UK,Home,Coffee Maker,1,The Coffee Maker arrived late and was not as described.,Canceled,265.75
2024-11-16,USA,Kitchen,Non-Stick Frying Pan,3,"The Non-Stick Frying Pan is nothing special, just average.",Canceled,457.54
2025-03-17,USA,Clothing,Formal Shirt,2,"Extremely dissatisfied with the Formal Shirt, will not recommend.",Canceled,307.5
2025-07-11,Canada,Accessories,Keychain,5,Best purchase ever! The Keychain is worth every cent.,Canceled,465.66
2025-05-27,UK,Sports,Dumbbells,5,"Amazing Dumbbells, customer support was also top-notch.",Canceled,111.74
2025-06-25,UK,Sports,Running Shorts,1,The Running Shorts is uncomfortable and poorly made.,Fulfilled,232.39
2025-04-05,Canada,Home,Air Purifier,3,"It's okay, the Air Purifier does the job but quality could be better.",Fulfilled,334.64
2024-12-06,Canada,Accessories,Travel Duffel Bag,1,"Size issue with the Travel Duffel Bag, totally unusable.",Canceled,88.67
2025-07-02,UK,Accessories,Sunglasses,1,"Totally not worth it, the Sunglasses is a disaster.",Pending,244.59
2025-01-11,USA,Accessories,Sunglasses,2,"Terrible quality Sunglasses, felt like a waste of money.",Fulfilled,178.88
2025-02-15,Canada,Clothing,Formal Shirt,4,Perfect fit and great fabric quality on the Formal Shirt.,Pending,148.16
2025-06-07,USA,Accessories,Travel Duffel Bag,3,"The Travel Duffel Bag is acceptable, but I expected slightly better packaging.",Pending,114.53
2024-07-29,UK,Beauty,Beard Trimmer,3,The Beard Trimmer works as expected but nothing to brag about.,Fulfilled,243.26
2025-04-01,USA,Sports,Tennis Racket,1,The Tennis Racket is uncomfortable and poorly made.,Canceled,172.7
2024-09-23,USA,Home,Vacuum Cleaner,5,Perfect fit and great fabric quality on the Vacuum Cleaner.,Canceled,441.37
2025-02-05,USA,Kitchen,Non-Stick Frying Pan,3,"It's usable, but the Non-Stick Frying Pan could have been more comfortable.",Fulfilled,391.26
2024-12-26,UK,Home,Vacuum Cleaner,2,"Terrible quality Vacuum Cleaner, felt like a waste of money.",Fulfilled,339.3
2025-02-06,UK,Beauty,Beard Trimmer,1,"Disappointed with the Beard Trimmer, customer support unhelpful.",Canceled,190.85
2025-03-15,Canada,Electronics,Smartwatch,5,"Very happy with the Smartwatch, fits perfectly and great value for money.",Canceled,437.9
2024-12-23,Australia,Electronics,Noise Cancelling Headphones,3,The Noise Cancelling Headphones works as expected but nothing to brag about.,Pending,394.72
2024-11-29,UK,Clothing,Cotton T-Shirt,3,"Not bad, but the Cotton T-Shirt is also not great.",Canceled,294.15
2024-10-12,UK,Accessories,Leather Belt,5,The Leather Belt looks amazing and is really sturdy.,Pending,59.44
2024-08-09,USA,Sports,Basketball,3,"Neither good nor bad, just okay Basketball.",Fulfilled,415.4
2024-10-26,Australia,Beauty,Lipstick,4,"The Lipstick is perfect for my needs, amazing craftsmanship.",Fulfilled,124.04
2025-07-23,UK,Home,Coffee Maker,2,The Coffee Maker is uncomfortable and poorly made.,Canceled,240.86
2024-09-30,USA,Kitchen,Stainless Steel Cookware Set,3,"It's usable, but the Stainless Steel Cookware Set could have been more comfortable.",Pending,351.76
2025-07-12,Australia,Beauty,Shampoo,5,"Very happy with the Shampoo, fits perfectly and great value for money.",Canceled,212.52
2024-09-01,Canada,Sports,Football,5,The Football has become my favorite item.,Canceled,231.69
2025-04-03,Canada,Shoes,Canvas Shoes,1,"Totally not worth it, the Canvas Shoes is a disaster.",Fulfilled,80.69
2025-04-05,Australia,Sports,Dumbbells,2,"Terrible quality Dumbbells, felt like a waste of money.",Pending,324.41
2025-06-13,UK,Shoes,Slip-On Loafers,1,"Awful experience, will never buy this Slip-On Loafers again.",Fulfilled,194.83
2024-10-18,Canada,Beauty,Beard Trimmer,5,"The Beard Trimmer arrived on time and works perfectly, highly recommend.",Canceled,41.05
2024-12-09,Canada,Kitchen,Electric Mixer,4,The Electric Mixer looks amazing and is really sturdy.,Pending,171.89
2025-07-04,Australia,Shoes,Formal Shoes,3,"Average experience with the Formal Shoes, works okay but has room for improvement.",Pending,243.61
2024-10-12,USA,Clothing,Sports Shorts,4,"Excellent purchase, the Sports Shorts feels premium and durable.",Fulfilled,48.16
2024-08-23,UK,Accessories,Keychain,2,The Keychain is uncomfortable and poorly made.,Fulfilled,53.38
2025-07-12,Canada,Kitchen,Measuring Cup Set,1,"The Measuring Cup Set stopped working after just one use, very frustrating.",Canceled,32.96
2024-11-24,Australia,Electronics,Smartphone Case,4,"The Smartphone Case exceeded my expectations, will definitely buy again!",Fulfilled,425.42
2024-09-13,Canada,Clothing,Bomber Jacket,3,"Neutral experience, the Bomber Jacket performs as advertised but lacks premium feel.",Pending,210.92
2025-01-11,Australia,Clothing,Formal Shirt,1,The Formal Shirt is overpriced for such cheap material.,Canceled,476.48
2025-01-23,UK,Kitchen,Blender Jar,5,"The Blender Jar is perfect for my needs, amazing craftsmanship.",Pending,78.08
2025-04-27,UK,Accessories,Umbrella,3,"I feel neutral about this Umbrella, nothing stands out.",Pending,221.88
2025-07-16,Canada,Accessories,Backpack,5,"The Backpack is stylish and comfortable, I wear it every day.",Fulfilled,48.04
2024-09-25,USA,Kitchen,Blender Jar,3,"I feel neutral about this Blender Jar, nothing stands out.",Fulfilled,342.54
2024-08-20,Canada,Beauty,Face Mask,5,Perfect fit and great fabric quality on the Face Mask.,Pending,320.29
2024-12-26,Australia,Clothing,Maxi Dress,4,"The Maxi Dress arrived on time and works perfectly, highly recommend.",Canceled,150.25
2025-07-03,Canada,Accessories,Keychain,1,"Extremely dissatisfied with the Keychain, will not recommend.",Fulfilled,159.45
2025-03-29,Canada,Kitchen,Water Bottle,5,"Fast shipping and great quality Water Bottle, could not be happier.",Fulfilled,418.02
2025-03-23,USA,Electronics,Tablet Cover,2,The Tablet Cover is uncomfortable and poorly made.,Pending,301.9
2024-10-18,UK,Clothing,Polo Shirt,3,"I feel neutral about this Polo Shirt, nothing stands out.",Canceled,468.03
2024-10-26,Australia,Kitchen,Water Bottle,4,The Water Bottle has become my favorite item.,Pending,468.94
2025-06-26,USA,Kitchen,Blender Jar,5,"Superb quality on the Blender Jar, packaging was also great.",Pending,59.16
2025-03-11,Canada,Electronics,Noise Cancelling Headphones,5,Great Noise Cancelling Headphones! Exactly as described and worth every penny.,Pending,95.21
2024-09-27,Australia,Beauty,Perfume,4,"Amazing Perfume, customer support was also top-notch.",Canceled,239.85
2025-07-12,Canada,Beauty,Beard Trimmer,1,"Worst experience ever, the Beard Trimmer is a scam.",Canceled,98.73
2024-10-07,USA,Shoes,Sandals,5,"The Sandals is perfect for my needs, amazing craftsmanship.",Fulfilled,188.09
2025-02-28,UK,Beauty,Nail Polish,1,"Very poor quality Nail Polish, broke within a week.",Fulfilled,99.63
2025-05-29,Canada,Home,Microwave Oven,3,"The Microwave Oven is fine for casual use, not premium quality.",Pending,496.32
2024-12-20,Canada,Shoes,High Heels,5,"The High Heels is perfect for my needs, amazing craftsmanship.",Pending,23.6
2025-03-04,USA,Electronics,Tablet Cover,2,"The Tablet Cover came damaged, packaging was horrible.",Canceled,291.78
2025-03-22,Australia,Accessories,Sunglasses,3,The Sunglasses does the job but lacks a premium feel.,Canceled,220.19
2025-04-06,UK,Accessories,Silk Scarf,5,Best purchase ever! The Silk Scarf is worth every cent.,Fulfilled,498.37
2025-07-04,UK,Home,Dish Rack,4,"The Dish Rack is perfect for my needs, amazing craftsmanship.",Pending,115.6
2024-12-19,USA,Kitchen,Cutting Board,2,"Totally not worth it, the Cutting Board is a disaster.",Canceled,458.58
2025-06-14,USA,Kitchen,Oven Gloves,2,"Disappointed with the Oven Gloves, customer support unhelpful.",Canceled,120.15
2025-06-21,Australia,Kitchen,Chef Knife,5,"Fast shipping and great quality Chef Knife, could not be happier.",Fulfilled,374.94
2024-12-21,UK,Sports,Yoga Mat,1,"Size issue with the Yoga Mat, totally unusable.",Fulfilled,174.48
2025-02-08,USA,Clothing,Chinos,2,"The Chinos came damaged, packaging was horrible.",Fulfilled,478.53
2024-12-04,Canada,Clothing,Cargo Pants,3,"The Cargo Pants is decent, not too bad but nothing extraordinary.",Pending,95.16
2025-03-31,Australia,Beauty,Face Mask,4,Everything about this Face Mask screams quality!,Fulfilled,383.54
2025-05-17,USA,Kitchen,Coffee Grinder,2,"Size issue with the Coffee Grinder, totally unusable.",Pending,459.48
2025-07-20,UK,Clothing,Hoodie,4,"Loved the color and style of the Hoodie, perfect buy.",Fulfilled,97.73
2024-11-22,Canada,Beauty,Foundation,3,"The Foundation is just fine, delivery took longer than expected.",Canceled,123.68
2025-02-26,Australia,Clothing,Cotton T-Shirt,3,"The Cotton T-Shirt is fine for casual use, not premium quality.",Canceled,124.64
2024-10-11,UK,Electronics,Laptop Bag,1,The Laptop Bag feels cheap and unreliable.,Pending,484.75
2024-08-10,USA,Clothing,Polo Shirt,5,Great Polo Shirt! Exactly as described and worth every penny.,Pending,335.02
2025-04-16,Australia,Beauty,Nail Polish,4,"Excellent purchase, the Nail Polish feels premium and durable.",Fulfilled,400.73
2025-01-19,UK,Electronics,Portable Charger,3,"I feel neutral about this Portable Charger, nothing stands out.",Fulfilled,75.75
2024-10-28,Canada,Kitchen,Measuring Cup Set,1,The Measuring Cup Set is uncomfortable and poorly made.,Canceled,291.78
2025-05-15,Canada,Clothing,Chinos,5,"Superb quality on the Chinos, packaging was also great.",Canceled,486.44
2025-05-09,Australia,Kitchen,Electric Mixer,4,"Excellent purchase, the Electric Mixer feels premium and durable.",Canceled,107.61
2025-05-10,UK,Clothing,Cotton T-Shirt,5,"Very happy with the Cotton T-Shirt, fits perfectly and great value for money.",Pending,315.42
2025-04-13,Canada,Sports,Cricket Bat,3,"The Cricket Bat is nothing special, just average.",Pending,330.87
2025-06-01,Canada,Home,Electric Kettle,3,"It's usable, but the Electric Kettle could have been more comfortable.",Canceled,169.47
2025-04-10,Australia,Home,Ceiling Fan,4,Best purchase ever! The Ceiling Fan is worth every cent.,Fulfilled,356.89
2024-10-11,Australia,Sports,Cycling Helmet,4,Great Cycling Helmet! Exactly as described and worth every penny.,Canceled,457.85
2025-02-09,UK,Sports,Dumbbells,5,"The Dumbbells came earlier than expected, amazing service.",Canceled,357.57
2024-08-26,USA,Electronics,Noise Cancelling Headphones,5,"Amazing Noise Cancelling Headphones, customer support was also top-notch.",Canceled,27.67
2025-07-19,USA,Sports,Cricket Bat,5,The Cricket Bat looks amazing and is really sturdy.,Canceled,198.71
2024-10-24,UK,Electronics,Noise Cancelling Headphones,3,"Average build quality on the Noise Cancelling Headphones, neither bad nor great.",Pending,499.05
2025-01-21,Australia,Accessories,Wrist Watch,4,"The Wrist Watch is stylish and comfortable, I wear it every day.",Canceled,21.44
2025-05-24,USA,Accessories,Backpack,4,"Superb quality on the Backpack, packaging was also great.",Pending,212.04
2024-08-18,Canada,Beauty,Face Mask,3,"The Face Mask is nothing special, just average.",Pending,300.42
2025-02-05,Canada,Shoes,Canvas Shoes,4,"The Canvas Shoes exceeded my expectations, will definitely buy again!",Canceled,455.01
2024-10-15,UK,Beauty,Shampoo,4,"Highly satisfied, the Shampoo works even better than advertised.",Canceled,205.58
2025-04-30,USA,Accessories,Sunglasses,1,"The Sunglasses is flimsy and uncomfortable, regret buying it.",Canceled,246.59
2024-10-14,Canada,Clothing,Denim Jeans,2,"Disappointed with the Denim Jeans, customer support unhelpful.",Pending,160.89
2025-06-22,UK,Clothing,Maxi Dress,3,"Got what I ordered, the Maxi Dress is okay.",Fulfilled,28.66
2025-05-20,Australia,Electronics,Noise Cancelling Headphones,2,"Awful experience, will never buy this Noise Cancelling Headphones again.",Canceled,25.36
2025-05-22,Canada,Beauty,Moisturizing Cream,1,"Size issue with the Moisturizing Cream, totally unusable.",Fulfilled,369.82
2024-11-30,USA,Kitchen,Chef Knife,1,"Received the wrong Chef Knife, very disappointed.",Canceled,236.06
2025-01-11,Australia,Accessories,Wallet,2,"Worst experience ever, the Wallet is a scam.",Fulfilled,236.09
2025-05-13,Australia,Home,Toaster,4,"Loved the color and style of the Toaster, perfect buy.",Canceled,395.04
2024-10-17,Australia,Accessories,Silk Scarf,3,"Average build quality on the Silk Scarf, neither bad nor great.",Pending,106.28
2024-08-25,Australia,Kitchen,Blender Jar,4,"Excellent purchase, the Blender Jar feels premium and durable.",Fulfilled,416.45
2025-05-10,USA,Shoes,Running Shoes,2,The Running Shoes feels cheap and unreliable.,Pending,150.4
2025-02-05,Canada,Sports,Football,4,Best purchase ever! The Football is worth every cent.,Fulfilled,439.4
2025-06-03,USA,Beauty,Hair Dryer,3,The Hair Dryer does the job but lacks a premium feel.,Fulfilled,396.73
2025-07-12,USA,Kitchen,Chef Knife,4,"The Chef Knife is perfect for my needs, amazing craftsmanship.",Canceled,409.03
2025-01-24,UK,Clothing,Hoodie,4,"Very happy with the Hoodie, fits perfectly and great value for money.",Canceled,39.02
2025-04-21,Canada,Home,Blender,4,Perfect fit and great fabric quality on the Blender.,Pending,426.91
2024-08-30,USA,Electronics,Gaming Mouse,4,"Excellent purchase, the Gaming Mouse feels premium and durable.",Fulfilled,265.56
2025-03-28,UK,Accessories,Leather Belt,4,"Absolutely love the Leather Belt, excellent quality and fast delivery.",Canceled,25.82
2025-04-18,Canada,Electronics,Mechanical Keyboard,4,Everything about this Mechanical Keyboard screams quality!,Canceled,287.42
2025-05-17,Australia,Beauty,Moisturizing Cream,5,"The Moisturizing Cream is perfect for my needs, amazing craftsmanship.",Canceled,122.97
2024-10-05,UK,Kitchen,Non-Stick Frying Pan,4,"Excellent purchase, the Non-Stick Frying Pan feels premium and durable.",Canceled,125.87
2025-03-15,UK,Beauty,Sunscreen,1,"Totally not worth it, the Sunscreen is a disaster.",Pending,486.67
2025-03-09,USA,Kitchen,Water Bottle,4,"The Water Bottle exceeded my expectations, will definitely buy again!",Fulfilled,60.08
2025-04-07,Canada,Electronics,Gaming Mouse,4,The Gaming Mouse looks amazing and is really sturdy.,Fulfilled,393.41
2024-10-29,UK,Accessories,Leather Belt,1,"Size issue with the Leather Belt, totally unusable.",Canceled,276.14
2024-08-19,USA,Home,Rice Cooker,2,"Disappointed with the Rice Cooker, customer support unhelpful.",Canceled,324.66
2025-03-05,Canada,Beauty,Foundation,4,"The Foundation arrived on time and works perfectly, highly recommend.",Fulfilled,134.91
2025-02-25,UK,Electronics,Laptop Bag,3,"Not bad, but the Laptop Bag is also not great.",Canceled,105.09
2024-12-12,UK,Electronics,Smartwatch,4,"The Smartwatch is stylish and comfortable, I wear it every day.",Pending,313.94
2024-11-16,Australia,Clothing,Hoodie,1,"The Hoodie broke within days, horrible quality.",Canceled,450.39
2025-01-11,UK,Home,Vacuum Cleaner,2,"Bad experience, the Vacuum Cleaner came with missing parts.",Pending,173.35
2024-11-29,Canada,Accessories,Leather Belt,1,"The Leather Belt broke within days, horrible quality.",Pending,445.51
2024-09-14,UK,Shoes,Sneakers,3,"Average experience with the Sneakers, works okay but has room for improvement.",Fulfilled,495.81
2025-01-07,UK,Home,Dish Rack,5,Perfect fit and great fabric quality on the Dish Rack.,Canceled,102.67
2024-09-26,USA,Shoes,Sneakers,5,Everything about this Sneakers screams quality!,Pending,164.42
2025-05-25,UK,Beauty,Beard Trimmer,2,The Beard Trimmer is overpriced for such cheap material.,Fulfilled,217.9
2025-07-22,Canada,Shoes,Running Shoes,5,"The Running Shoes exceeded my expectations, will definitely buy again!",Pending,349.45
2025-01-26,USA,Clothing,Hoodie,3,The Hoodie works as expected but nothing to brag about.,Canceled,366.46
2025-07-28,Australia,Home,Ceiling Fan,5,Great Ceiling Fan! Exactly as described and worth every penny.,Canceled,141.29
2024-11-16,UK,Kitchen,Coffee Grinder,3,"It's okay, the Coffee Grinder does the job but quality could be better.",Pending,441.92
2024-08-21,Australia,Electronics,Gaming Mouse,2,"The Gaming Mouse stopped working after just one use, very frustrating.",Pending,283.26
2025-05-26,Canada,Sports,Dumbbells,3,"Fairly standard experience, nothing too exciting about the Dumbbells.",Fulfilled,297.56
2024-09-10,Canada,Sports,Yoga Mat,1,Customer service ignored my complaint about the Yoga Mat.,Canceled,301.04
2025-01-01,UK,Clothing,Sports Shorts,2,"The Sports Shorts stopped working after just one use, very frustrating.",Canceled,17.76
